Moderation Judgement	Targeted Statement	Context Paragraph	Biographical Subject	Biographical Summary	Edit Date	Editor username	Annotator n°1 judgement	Annotator n°2 judgement	Annotator n°3 judgement	Annotator n°4 judgement	Annotator n°5 judgement	Annotator's Majority Vote	Neutral Vote Ratio	Non-neutral Vote Ratio	ELB	POV	PDEI
neutral	La défaite de cette dernière au second tour du scrutin présidentiel, face au candidat de l'UMP Nicolas Sarkozy, l'amène à critiquer de manière très vive la stratégie de l'ex-candidate, notamment par le biais de son livre En quête de gauche. /// A l'occasion du congrès de Reims en septembre 2008, Trait d'union dépose une nouvelle contribution. Appelant à l'union de toutes les tendances de l'aile gauche du PS, Jean-Luc Mélenchon parvient très tôt à un accord avec le courant Forces militantes animé par le député nordiste Marc Dolez.	Après l'échec des collectifs unitaires à se réunir derrière une candidature commune, il écrit sur son blog, affirmant son soutien à Ségolène Royal : « Une partie de l'électorat politisé de la gauche se démobilise. Il ne se sent pas représenté. Une partie de la population électorale parmi les désemparés (par la dureté de la vie) — désorientés (par l'absence d'alternative politique radicale intelligible) va continuer à flotter entre l'indifférence écœurée et les poussées de colère électorale aveugle. Enfin, la centralité de la candidature socialiste à gauche est désormais totale, que cela plaise ou pas, parce qu'elle paraît la seule efficace pour atteindre le programme commun le plus élémentaire : être présent au deuxième tour et battre la droite ». La défaite de cette dernière au second tour du scrutin présidentiel, face au candidat de l'UMP Nicolas Sarkozy, l'amène à critiquer de manière très vive la stratégie de l'ex-candidate, notamment par le biais de son livre En quête de gauche. /// À l'occasion du congrès de Reims en septembre 2008, Trait d'union dépose une nouvelle contribution. Appelant à l'union de toutes les tendances de l'aile gauche du PS, Jean-Luc Mélenchon parvient très tôt à un accord avec le courant Forces militantes animé par le député nordiste Marc Dolez. Mais les autres tendances, rassemblées autour du Nouveau Parti socialiste de Benoît Hamon et Henri Emmanuelli, hésitent longtemps entre cette stratégie et un soutien à la motion conduite par Martine Aubry et Laurent Fabius. La veille du dépôt des motions, un accord est finalement conclu entre les sept contributions de l'aile gauche du PS, et Jean-Luc Mélenchon fait partie des signataires de la motion C intitulée « Un monde d'avance », conduite par Benoît Hamon. Il a qualifié ce rassemblement d'« événement historique » : cette motion rassemble en effet pour la première fois toutes les sensibilités de l'aile gauche du PS, avec des personnalités emblématiques de cette tendance comme Gérard Filoche, Marie-Noëlle Lienemann ou Paul Quilès.	Jean-Luc Mélenchon	"Jean-Luc Mélenchon, né le 19 août 1951 à Tanger (Maroc), est un homme politique français.

Membre de l’Organisation communiste internationaliste de 1972 à 1976, il entre ensuite au Parti socialiste (PS) et devient successivement conseiller municipal de Massy en 1983, conseiller général de l'Essonne en 1985 et sénateur en 1986. Il est également ministre délégué à l'Enseignement professionnel de 2000 à 2002, dans le gouvernement Jospin. Il fait partie de l'aile gauche du PS jusqu'au congrès de 2008, à l'issue duquel il part fonder le Parti de gauche.

Sous les couleurs du Front de gauche, coalition qui réunit notamment le Parti de gauche et le Parti communiste français, il est élu député européen en 2009 et réélu en 2014. Il est le candidat de cette coalition à l'élection présidentielle de 2012, à l'issue de laquelle il arrive en quatrième position, avec 11,1 % des voix.

En 2016, il fonde La France insoumise et se présente sous cette étiquette à l'élection présidentielle de 2017, à laquelle il termine à nouveau en quatrième position, réunissant 19,6 % des suffrages. Il est ensuite député de la quatrième circonscription des Bouches-du-Rhône et préside le groupe La France insoumise à l'Assemblée nationale au cours du premier mandat d'Emmanuel Macron jusqu'en 2021.

En 2022, il se présente pour la troisième fois à l'élection présidentielle : il réalise son score le plus élevé, remportant 22 % des voix et arrivant largement en tête parmi les candidats de gauche, mais échoue une nouvelle fois à accéder au second tour, terminant troisième. Pour les élections législatives, lors desquelles il ne brigue pas de second mandat, il est le chef de file de la coalition de gauche Nouvelle Union populaire écologique et sociale, qui devient la principale force d'opposition de l'Assemblée et prive Emmanuel Macron d'une majorité absolue.

Sans mandat électif après avoir laissé sa circonscription à Manuel Bompard, il reste actif dans le débat public et devient coprésident du laboratoire d'idées Institut La Boétie en 2023 auprès de Clémence Guetté."	2008-11-20	Alankazame	non-neutral	neutral	neutral	non-neutral	neutral	neutral	3	2	Null	Null	Null
neutral	Elle a été collaboratrice d'Édouard Balladur et de Philippe Douste-Blazy. Elle est aujourd'hui déléguée générale de l'association des producteurs indépendants du cinéma français et secrétaire générale d'Uniciné.	Arnaud Montebourg a épousé le 31 mai 1997, la veille du second tour des élections législatives qui le virent devenir député, en l'abbaye cistercienne de Valmagne, Hortense de Labriffe, née en 1968, fille du comte Antoine de Labriffe et de la comtesse, née Anne de Lacretelle. Elle a été collaboratrice d'Édouard Balladur et de Philippe Douste-Blazy. Elle est aujourd'hui déléguée générale de l'association des producteurs indépendants du cinéma français et secrétaire générale d'Uniciné. Ils ont deux enfants : Paul, né en 2000, et Adèle, née en 2002. Le couple se sépare en 2010.	Arnaud Montebourg	"Arnaud Montebourg, né le 30 octobre 1962 à Clamecy (Nièvre), est un avocat, entrepreneur et homme politique français.

Il adhère au Parti socialiste en 1985. Il est député à l'Assemblée nationale, élu dans la sixième circonscription de Saône-et-Loire, de 1997 à 2012. Il est également président du conseil général de Saône-et-Loire de 2008 à 2012. À partir du congrès de Reims de 2008, il est secrétaire national du Parti socialiste chargé de la rénovation.

Arrivé en troisième position du premier tour de la primaire citoyenne de 2011, il est nommé, l'année suivante, ministre du Redressement productif dans les gouvernements Ayrault. Il devient ministre de l'Économie, du Redressement productif et du Numérique dans le premier gouvernement Valls, en avril 2014 ; critique envers l'action du gouvernement, il quitte ses fonctions en août suivant lors de la formation du second gouvernement Valls. Il est candidat à la primaire citoyenne de 2017, où il termine troisième au premier tour.

À partir de 2017, retiré de la vie politique, il crée plusieurs entreprises dans le domaine de l'agro-alimentaire. Il annonce en 2021 sa candidature à l'élection présidentielle de 2022, avant de se retirer trois mois avant le scrutin."	2007-11-17	Pierre73	neutral	neutral	neutral	neutral	neutral	neutral	5	0	Null	Null	Null
neutral	Dans cet ouvrage, il dénonce ce qu’il appelle les blocages et les illogismes de la société française.	Né à Châtellerault où vivaient ses grands parents, il vit ses trois premières années à Montreuil. Sa famille s'installe à Drancy en 1970. Son père est informaticien et sa mère secrétaire. ///  En 2008, Jean-Christophe Lagarde a publié un livre (Les Hypocrisies Françaises, aux Editions du Cherche Midi) dans lequel il revient sur cette décision et où il argumente la nécessité pour l'Etat de trouver la place de l'Islam en France afin d'éviter que cette religion ne soit une arme aux mains d’États étrangers. Dans cet ouvrage, il dénonce ce qu’il appelle les blocages et les illogismes de la société française.	Jean-Christophe Lagarde	"Jean-Christophe Lagarde, né le 24 octobre 1967 à Châtellerault (Vienne), est un homme politique français qui est maire de Drancy de 2001 à 2017 et député de la 5e circonscription de la Seine-Saint-Denis de 2002 à 2022.

Elu de l’UDF, il soutient son président François Bayrou à la présidentielle 2007, mais participe le mois suivant à la création du Nouveau Centre plutôt que rejoindre le Modem fondé dans la foulée par Bayrou.

Après la présidentielle 2012, en conflit avec les autres dirigeants du Nouveau Centre, il crée Force européenne démocrate, absorbé trois mois après dans l'Union des démocrates et indépendants (UDI) de Jean-Louis Borloo, qui se retire de la vie politique le 13 novembre 2014. Jean-Christophe Lagarde lui succède à la présidence et mène la liste de cette galaxie politique aux européennes de 2019.

Battu aux législatives de 2022, et au centre de plusieurs controverses et affaires judiciaires, il démissionne de ses autres fonctions politiques, après avoir été condamné à une peine d’emprisonnement avec sursis et à deux ans d’inéligibilité pour détournement de fonds publics."	2009-12-03	Mafritzha	neutral	neutral	neutral	neutral	neutral	neutral	5	0	Null	Null	Null
neutral	Il défend, sur ce dossier, un renforcement des coopérations métropolitaines pour répondre aux enjeux d'avenir qu'il identifie pour les Bouches-du-Rhône. Il s'oppose à la création d'une métropole centralisée et intégrée et plaide pour un Établissement Public Opérationnel de Coopération, aux côtés de l'Union des maires des Bouches-du-Rhône.	Il défend, sur ce dossier, un renforcement des coopérations métropolitaines pour répondre aux enjeux d'avenir qu'il identifie pour les Bouches-du-Rhône. Il s'oppose à la création d'une métropole centralisée et intégrée et plaide pour un Établissement Public Opérationnel de Coopération, aux côtés de l'Union des maires des Bouches-du-Rhône.	Jean-David Ciot	Jean-David Ciot, né le 1er mai 1967 à Rosendaël (Nord), est un homme politique français. Premier secrétaire de la fédération socialiste des Bouches-du-Rhône depuis 2011, il est député de la quatorzième circonscription des Bouches-du-Rhône de 2012 à 2017.	2014-01-26	Jules*	neutral	neutral	non-neutral	neutral	neutral	neutral	4	1	Null	Null	Null
neutral	Dans le même temps, les défections continuent, ainsi que les critiques sur sa façon de gérer le MoDem, accusé de n'être qu'un marchepied pour ses ambitions présidentielles. Ainsi, Jean Arthuis, en avril 2008, déclare à propos de François Bayrou qu'« on ne dirige pas un parti comme une secte ».	"Dans le même temps, les défections continuent, ainsi que les critiques sur sa façon de gérer le MoDem, accusé de n'être qu'un marchepied pour ses ambitions présidentielles. Ainsi, Jean Arthuis, en avril 2008, déclare à propos de François Bayrou qu'« on ne dirige pas un parti comme une secte ». Le député européen Thierry Cornillet qualifie pour se part de « suicidaire » la politique du président du MoDem, qui « sacrifi[erait] ses élus pour une chimère présidentielle ». Soucieux de démontrer la marginalité de ces défections et de réaffirmer son autorité face aux critiques internes, François Bayrou propose de soumettre au vote des adhérents une contribution dans laquelle il défend sa stratégie d'indépendance : Thierry Cornillet (soutenu par les sénateurs Yves Détraigne, Françoise Férat, Philippe Nogrix et Catherine Morin-Desailly) ayant renoncé à soumettre une contribution, seul le texte du président du MoDem est proposé aux adhérents en juin 2008 ; il obtint l'approbation de 98 % des votants. "	François Bayrou	"François Bayrou, né le 25 mai 1951 à Bordères (Basses-Pyrénées, aujourd'hui Pyrénées-Atlantiques), est un homme d'État français. Il est Premier ministre du 13 décembre 2024 au 9 septembre 2025.

Professeur agrégé de lettres classiques, il s'engage en politique aux côtés de Jean Lecanuet et obtient son premier mandat électif en 1982 en devenant conseiller général. Par la suite, il est élu député des Pyrénées-Atlantiques (1986), président du conseil général (1992), député européen (1999) puis maire de Pau (2014).

Entre 1993 et 1997, il est ministre de l'Éducation nationale sous les gouvernements Balladur et Juppé II.

Il préside le Centre des démocrates sociaux (CDS) de 1994 à 1995, Force démocrate (FD) de 1995 à 1998, l'Union pour la démocratie française (UDF) de 1998 à 2007 et le Mouvement démocrate (MoDem) – dont il est le fondateur – depuis 2007. Il s'ancre progressivement au centre alors qu'il était traditionnellement classé au centre droit.

À trois reprises, il se présente à une élection présidentielle. Il arrive en quatrième position en 2002 avec 6,8 % des suffrages exprimés, troisième en 2007 avec 18,6 % et cinquième en 2012 avec 9,1 % des voix. En 2017, il renonce à se présenter au profit d'un soutien à Emmanuel Macron.

Après l'élection d'Emmanuel Macron comme président de la République, François Bayrou devient ministre de la Justice dans le premier gouvernement d'Édouard Philippe, vingt ans après son dernier poste ministériel. Mais cité dans l'affaire des assistants parlementaires du MoDem au Parlement européen, il n'est pas reconduit dans le deuxième gouvernement Philippe. Emmanuel Macron le nomme par la suite haut-commissaire au plan en 2020.

Il devient Premier ministre en décembre 2024 dans un contexte de crise politique à la suite des élections législatives anticipées de 2024 et du renversement de Michel Barnier. Comme son prédécesseur, François Bayrou forme un gouvernement minoritaire alliant le centre et la droite avant d'être renversé au bout de neuf mois après l'échec d'un vote de confiance faisant suite à un discours de politique générale. Il devient alors le premier chef de gouvernement de la Ve République contraint à démissionner après un vote de confiance défavorable."	2008-04-06	Bombastus	neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	2	3	Null	Null	Null
neutral	Membre du Rassemblement national, il est élu député dans la 1re circonscription de la Haute-Marne lors des élections législatives de 2022. Il siège au sein du groupe RN et est membre et secrétaire de la commission des Affaires sociales de l'Assemblée nationale. /// De sensibilité souverainiste, Christophe Bentz s'engage en politique en 2005 à l'occasion de la campagne du « non » au référendum sur le traité constitutionnel européen. /// Il devient collaborateur d'élus locaux et prend part à la rédaction du « premier vade-mecum complet sur le métier des professionnels de cabinet des collectivités locales ». Il a notamment été conseiller technique au cabinet du président du conseil départemental de la Charente.	Membre du Rassemblement national, il est élu député dans la 1re circonscription de la Haute-Marne lors des élections législatives de 2022. Il siège au sein du groupe RN et est membre et secrétaire de la commission des Affaires sociales de l'Assemblée nationale. /// De sensibilité souverainiste, Christophe Bentz s'engage en politique en 2005 à l'occasion de la campagne du « non » au référendum sur le traité constitutionnel européen. /// Il devient collaborateur d'élus locaux et prend part à la rédaction du « premier vade-mecum complet sur le métier des professionnels de cabinet des collectivités locales ». Il a notamment été conseiller technique au cabinet du président du conseil départemental de la Charente.	Christophe Bentz	"Christophe Bentz, né le 4 juillet 1987 à Boulogne-Billancourt (Hauts-de-Seine), est un homme politique français.

Membre successif du Mouvement pour la France et du Parti chrétien-démocrate devenu Via, la voie du peuple, il est élu conseiller municipal à Saint-Germain-en-Laye (Yvelines) en 2020, puis député dans la 1re circonscription de la Haute-Marne lors des élections législatives de 2022, avec le soutien du Rassemblement national. À l'Assemblée nationale, il siège au sein du groupe RN.

Ses propos sur l'interruption volontaire de grossesse qu'il présente comme un « génocide de masse » ont créé une controverse, de même que son évocation de la notion de « race » dans son ouvrage Décrypter l'antiracisme."	2022-08-30	Éric Messel-3	non-neutral	neutral	neutral	neutral	neutral	neutral	4	1	Null	Null	Null
non-neutral	Il est élu Maire d'Annonay le 16 mars 2008 et l'une de ses premières décisions après avoir fait un audit des finances catastrophiques de la ville est de faire voter par sa majorité une augmentation de sa rémunération et celle de ses principaux adjoints.	Il est élu Maire d'Annonay le 16 mars 2008 et l'une de ses premières décisions après avoir fait un audit des finances catastrophiques de la ville est de faire voter par sa majorité une augmentation de sa rémunération et celle de ses principaux adjoints.	Olivier Dussopt	"Olivier Dussopt, né le 16 août 1978 à Annonay (Ardèche), est un homme politique français.

Membre du Parti socialiste jusqu'en 2017, député de la deuxième circonscription de l'Ardèche, élu le 17 juin 2007, il est le benjamin de l'Assemblée nationale pendant la XIIIe législature. Réélu en juin 2012, il est membre de la commission des lois constitutionnelles, de la législation et de l'administration générale de la République.

Alors qu'il s'inscrivait dans l'opposition au second gouvernement Édouard Philippe, il est nommé secrétaire d'État en novembre 2017 dans ce même gouvernement. En 2020, il est nommé ministre délégué chargé des Comptes publics dans le gouvernement Jean Castex.

Avec d'autres anciens socialistes, il fonde en 2020 le parti Territoires de progrès, qui vise à rassembler l'aile gauche de la majorité, et prend sa présidence en 2021.

Du 20 mai 2022 au 11 janvier 2024, il est ministre du Travail, du Plein emploi et de l'Insertion dans le gouvernement Élisabeth Borne. Il est réélu député dans sa circonscription le 19 juin 2022 sous l’étiquette Ensemble.

En janvier 2023, il est visé par le parquet national financier pour des faits de favoritisme dans l'attribution de marchés publics, alors qu'il doit faire face au même moment aux grèves du mouvement social contre le projet de réforme des retraites en France de 2023. Il est relaxé en janvier 2024 mais condamné l'année suivante après un appel du parquet.

Le 11 mars 2024, il est nommé secrétaire général exécutif du parti Renaissance."	2008-08-27	90.57.58.104	non-neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	1	4	0	0	1
neutral	François Fillon met en avant les racines chrétiennes de la France, comme deux de ses successeurs immédiats à l'Hôtel Matignon, les socialistes Manuel Valls et Bernard Cazeneuve (après que ce dernier les ait dans un premier temps reniées).	François Fillon met en avant les racines chrétiennes de la France, comme deux de ses successeurs immédiats à l'Hôtel Matignon, les socialistes Manuel Valls et Bernard Cazeneuve (après que ce dernier les ait dans un premier temps reniées). Il affirme son catholicisme et déclare : « je suis catholique, et comme beaucoup d'autres ma pratique est irrégulière ». Il va peu à la messe dominicale (« ce n'est pas un pilier de sacristie ») et se rend surtout à l'église à Noël, Pâques et le 15 août. Son épouse, une anglicane convertie au catholicisme, semble avoir une pratique plus régulière. Il déclare qu'il voit sa foi comme une « force intérieure », comme relevant de « l'exercice de ma liberté la plus intime ». Pour lui la religion relève de la vie privée et non de la vie politique. Il ne va pas aux messes annuelles des parlementaires et demeure critique vis-à-vis du clergé auquel il reproche des sermons parfois médiocres. De même, il a adressé « une lettre polie mais critique » aux évêques de France à l'occasion de la parution de leur document sur le sens du politique. Il leur reproche notamment de « ne pas regarder les problèmes en face » en ce qui concerne la « montée de l'intégrisme au sein de l'Islam ».	François Fillon	"François Fillon, né le 4 mars 1954 au Mans (Sarthe), est un homme d'État français, notamment Premier ministre de 2007 à 2012.

Membre du Rassemblement pour la République (RPR), il entre en politique en tant qu'assistant parlementaire du député Joël Le Theule, dont il reprend le fief électoral dans la Sarthe. Entre 1981 et 2007, il exerce les mandats de député, de maire de Sablé-sur-Sarthe, de président du conseil général, de président du conseil régional des Pays de la Loire et de sénateur. Dans les années 1980 et 1990, il se réclame du gaullisme social et se rapproche de Philippe Séguin.

Il est ministre de l'Enseignement supérieur et de la Recherche dans le gouvernement Édouard Balladur (1993-1995), puis ministre des Technologies de l'Information et de la Poste (1995) et ministre délégué chargé de la Poste, des Télécommunications et de l'Espace (1995-1997) dans les deux gouvernements d'Alain Juppé.

En 2002, il rejoint l'Union pour un mouvement populaire (UMP) et se voit confier le ministère des Affaires sociales, du Travail et de la Solidarité, où il accomplit des réformes structurelles sur la durée du travail et sur les retraites. En 2004, il devient ministre de l'Éducation nationale. En 2005, après avoir fait voter la loi Fillon pour l'éducation, il quitte le gouvernement.

À la suite de la victoire de Nicolas Sarkozy à l'élection présidentielle de 2007, il est nommé Premier ministre. Conduisant trois gouvernements, il est l'unique chef de gouvernement du quinquennat et le deuxième Premier ministre — après Georges Pompidou — dans l'ordre de durée de présence en continu à Matignon sous la Ve République.

Après avoir été élu député à Paris, il est candidat à la présidence de l'UMP au congrès de l'UMP de 2012, dont il conteste les résultats qui le donnent perdant face à Jean-François Copé. Après plusieurs mois de conflit, il finit par conclure un accord avec ce dernier.

Lors de la primaire présidentielle de la droite et du centre de 2016, il l'emporte face aux favoris, Alain Juppé et Nicolas Sarkozy, en défendant un programme libéral-conservateur. Alors qu'il est devenu le favori de l'élection présidentielle de 2017, son image de probité affichée est remise en question par des révélations successives de la presse conduisant à l’« affaire Fillon ». Il maintient cependant sa candidature et termine en troisième position du premier tour. En juin 2025, il est condamné en appel à cinq ans d’inéligibilité et à une amende de 375 000 euros, pour détournement de fonds publics pour l'emploi fictif de son épouse, Penelope Fillon qui est également condamnée, ainsi qu'à rembourser 800 000 euros à l'Assemblée nationale.

Après l'élection présidentielle de 2017, François Fillon se met en retrait de la vie politique, puis devient membre du conseil d’administration de deux sociétés russes, dont l'une est co-détenue par un oligarque proche du président Poutine. Cette situation provoque la controverse à la suite de l'invasion de l'Ukraine par la Russie, le contraignant à quitter ses fonctions."	2017-01-08	Erik Bovin	neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	2	3	Null	Null	Null
neutral	Elle est par ailleurs membre de la Commission supérieure du numérique et des postes, qui a pour mission de contrôler les activités postales et de communications électroniques (téléphonie fixe, mobile et internet).	Elle est par ailleurs membre de la Commission supérieure du numérique et des postes, qui a pour mission de contrôler les activités postales et de communications électroniques (téléphonie fixe, mobile et internet).	Mireille Clapot	"Mireille Clapot, née le 14 octobre 1963 à Belley (Ain), est une autrice, cadre supérieure et femme politique française. Membre de En Commun, elle est députée dans la première circonscription de la Drôme de 2017 à 2024, sous les couleurs d'En Marche puis apparentée Renaissance.

Elle est nommée membre du Collège de l'Autorité de régulation des communications électroniques, des postes et de la distribution de la presse en octobre 2024."	2018-12-16	Cheep	neutral	neutral	neutral	neutral	neutral	neutral	5	0	Null	Null	Null
non-neutral	Il milite pour la reconnaissance de la responsabilité de l'armée française dans la disparition de Maurice Audin, mort sous la torture en 1957 à Alger alors qu'il participait, aux côtés du FLN, à la Révolution algérienne.	Il milite pour la reconnaissance de la responsabilité de l'armée française dans la disparition de Maurice Audin, mort sous la torture en 1957 à Alger alors qu'il participait, aux côtés du FLN, à la Révolution algérienne.	Cédric Villani	"Cédric Villani, né le 5 octobre 1973 à Brive-la-Gaillarde (Corrèze), est un mathématicien et homme politique français.

Spécialiste de l'analyse mathématique, il travaille sur des problèmes issus de la physique statistique (équation de Boltzmann, amortissement Landau), de l'optimisation (problème du transport optimal de Monge) et de la géométrie riemannienne (théorie synthétique de la courbure de Ricci). Directeur de l'institut Henri-Poincaré de 2009 à 2017 et professeur des universités, il est lauréat de la médaille Fields en 2010.

Il est élu député dans la cinquième circonscription de l'Essonne lors des élections législatives de 2017, sous l'étiquette de La République en marche (LREM). En 2020, il est candidat pour les élections municipales à Paris, mais la commission d'investiture de son parti désigne Benjamin Griveaux. Ses listes n'obtiennent aucun siège au Conseil de Paris, mais il est élu conseiller du 14e arrondissement. Exclu du parti, il quitte le groupe LREM à l'Assemblée nationale la même année pour rejoindre le groupe Écologie démocratie solidarité (EDS) puis Génération écologie. Il se porte candidat sous la bannière de la Nouvelle Union populaire écologique et sociale (NUPES) lors des élections législatives de 2022, mais n'est pas réélu dans sa circonscription, battu de 19 voix par Paul Midy de la coalition présidentielle Ensemble."	2019-09-10	Cheep	neutral	neutral	neutral	neutral	neutral	neutral	5	0	0	1	0
neutral	Alors que son ministre de tutelle n'a aucune conception précise du domaine culturel, Philippe de Villiers connaît ce milieu grâce à ses expériences précédentes. /// Selon lui, il est également primordial d'accentuer la place de l'éducation artistique, pour laquelle est créée la délégation aux enseignements et aux formations.	La notoriété qu’il a acquise comme créateur de la « Cinéscénie » du Puy du Fou, lui vaut d’être nommé secrétaire d’État auprès de François Léotard, ministre de la Culture et de la Communication, dans le gouvernement Jacques Chirac. Alors que son ministre de tutelle n’a aucune conception précise du domaine culturel, Philippe de Villiers connaît ce milieu grâce à ses expériences précédentes. /// Il veut donner la priorité au patrimoine et développer l'attractivité des musées, pour permettre de tripler le nombre de visiteurs, à travers par exemple la constitution d’un Grand Versailles, en ouvrant les appartements privés, et l’inauguration du Centre d’accueil et de recherches des Archives nationales (CARAN). Selon lui, il est également primordial d’accentuer la place de l’éducation artistique, pour laquelle est créée la délégation aux enseignements et aux formations. Si l’émergence d’écoles de communication multimédia et de formations de l’image et du son est encouragée, le reste de son plan est bloqué par la paralysie qui touche la politique de l’enseignement après l’échec de la réforme Devaquet. Il parvient à faire accepter une semaine de la chanson française, durant laquelle toutes les radios libres s’engagent à diffuser 80 % de productions francophones dans leurs programmes. Il organise également, en 1987, les commémorations nationales du millénaire de l’avènement d'Hugues Capet, premier roi de la dynastie capétienne, deux ans avant le bicentenaire de la Révolution. En 1986, le tout Paris politique et culturel vient en Vendée pour les dix ans du Puy du Fou.	Philippe De Villiers	"Philippe Le Jolis de Villiers de Saintignon, plus connu comme Philippe de Villiers, né le 25 mars 1949 à Boulogne (Vendée), est un entrepreneur, haut fonctionnaire, homme politique et écrivain français. Il est généralement associé à la droite souverainiste.

Ancien sous-préfet, il crée en Vendée, en 1978, le spectacle nocturne La Cinéscénie, puis un parc à thème, le Puy du Fou. Il quitte l'administration à la suite de l'élection de François Mitterrand à la présidence de la République.

Membre de l'UDF, Philippe de Villiers exerce la fonction de secrétaire d'État à la Culture de 1986 à 1987, dans le gouvernement Chirac II. Il est ensuite député, président du conseil général de la Vendée et député européen. En 1989, avant la première édition du Vendée Globe, il fait adopter un changement de nom de Globe Challenge à Vendée Globe Challenge. En 2002, il contribue à la survie de la course, lorsque l'organisateur est placé en liquidation judiciaire.

Fondateur en 1994 et président du Mouvement pour la France (MPF), parti politique de droite souverainiste, Philippe de Villiers se présente aux élections présidentielles de 1995 et de 2007, obtenant respectivement 4,74% et 2,23% des suffrages exprimés.

En retrait de la vie politique les années suivantes, Philippe de Villiers devient une figure de la « droite hors les murs », comme ses amis Patrick Buisson et Éric Zemmour, militant pour une union des droites entre Les Républicains et le Rassemblement national. Lors de l'élection présidentielle de 2022, il apporte son soutien au candidat Éric Zemmour et rejoint son parti Reconquête. Depuis septembre 2023, Philippe de Villiers est l'invité principal d'une l'émission hebdomadaire sur CNews, intitulée Face à Philippe de Villiers, durant laquelle il commente l'actualité. Ses audiences sont régulièrement soulignées par la presse.

Pendant son parcours politique et dans ses ouvrages, qui rencontrent régulièrement des succès en librairie, il défend les « racines chrétiennes de la France » et s'oppose à une « islamisation » qui affecte selon lui le pays. Plusieurs de ses propos ont fait l’objet de nombreuses critiques et de controverses, notamment des accusations de contre-vérités, de complotisme, et d’homophobie.

Il est le frère aîné du général Pierre de Villiers, ancien chef d'état-major des armées, et le père du président du Puy du Fou Nicolas de Villiers."	2008-08-10	HaguardDuNord	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	0	5	Null	Null	Null
neutral	Laurent Wauquiez relance la polémique sur les crèches de Noël dans l'espace public en contournant cette interdiction par sa décision d'exposer des santons dans le hall de ses locaux en décembre 2017	Le 6 octobre 2017, le tribunal administratif de Lyon déclare qu’il annule la décision de Laurent Wauquiez d’installer une crèche de Noël dans les locaux de l’hôtel de région en décembre 2016, estimant que l’installation de cette crèche « méconnaissait le principe de neutralité » imposé par la laïcité. Wauquiez relance la polémique sur les crèches de Noël dans l'espace public en contournant cette interdiction par sa décision d'exposer des santons dans le hall de ses locaux en décembre 2017. Le Conseil d’État se prononce cette fois-ci en sa faveur en retenant le « caractère culturel » de l'installation. 	Laurent Wauquiez	"Laurent Wauquiez, né le 12 avril 1975 à Lyon, est un homme politique français.

Normalien, agrégé d'histoire, puis énarque, il entre à l'Assemblée nationale en 2004 en remplacement de Jacques Barrot, puis est nommé en 2007 secrétaire d'État auprès du Premier ministre et porte-parole du gouvernement. L’année suivante, il devient secrétaire d'État chargé de l'Emploi, avant d’accéder en 2010 à la fonction de ministre chargé des Affaires européennes puis à celle de ministre de l'Enseignement supérieur et de la Recherche en 2011.

Maire du Puy-en-Velay de 2008 à 2016 et à nouveau député de 2012 à 2017, il devient secrétaire général de l'UMP en 2014 puis vice-président de LR, parti qui a succédé à l’UMP. Lors du congrès des Républicains de 2017, il en est élu président, puis démissionne après le faible score de la liste soutenue par LR aux européennes de 2019.

Elu président du conseil régional d'Auvergne-Rhône-Alpes en 2016, il est réélu en 2021. En 2024, il est élu de la première circonscription de Haute-Loire lors des législatives anticipées et dans la foulée président du groupe DR à l'Assemblée nationale, amenant sa démission de la présidence du conseil régional d'Auvergne-Rhône-Alpes et sa nomination en tant que « conseiller spécial »."	2018-01-05	Salsero35	non-neutral	neutral	neutral	non-neutral	neutral	neutral	3	2	Null	Null	Null
